paper,cites
Principles of Distributed Object Database Languages.,"['Classical Representations of Qubit Channels.', 'Strategic mistakes.', 'Scenarios and Covert Channels: Another Game...']"
Research Ethics in the Age of Digital Platforms.,"['Reasoning about efficiency within a probabilistic µ-calculus.', 'A hierarchy of probabilistic system types.']"
What do Retraction Notices Reveal About Institutional Investigations into Allegations Underlying Retractions?,"['Ethics Inside the Black Box: Integrating Science and Technology Studies into Engineering and Public Policy Curricula.', 'Research Ethics in the Age of Digital Platforms.', 'The Implication Problem of Functional Dependencies in Complex-value Databases.', 'Quantum Programming With Mixed States.']"
Principal Investigators' Priorities and Perceived Barriers and Facilitators When Making Decisions About Conducting Essential Research in the COVID-19 Pandemic.,"['Automated Compositional Abstraction Refinement for Concurrent C Programs: A Two-Level Approach.', 'Characterising E-projectives via Co-monads.']"
SAF: Stakeholders' Agreement on Fairness in the Practice of Machine Learning Development.,['Reversible Computation and Reversible Programming Languages.']
How Smart are Smart Materials? A Conceptual and Ethical Analysis of Smart Lifelike Materials for the Design of Regenerative Valve Implants.,"['Choiceless Polynomial Time, Counting and the Cai-Fürer-Immerman Graphs: (Extended Abstract).']"
Epistemic and Non-epistemic Values in Earthquake Engineering.,"['Multi-Source Feature Selection via Geometry-Dependent Covariance Analysis.', 'Notes on Coalgebras, Cofibrations and Concurrency.']"
Pedagogical Orientations and Evolving Responsibilities of Technological Universities: A Literature Review of the History of Engineering Education.,"['A Duality Theorem for Quantitative Semantics.', 'Domain Theory its Ramifications and Interactions.', 'On Expressivity and Compositionality in Logics for Coalgebras.']"
Ethics Inside the Black Box: Integrating Science and Technology Studies into Engineering and Public Policy Curricula.,"[""Infinitary Howe's Method."", 'How Iterative are Iterative Algebras?', 'A hierarchy of probabilistic system types.', 'Tableau Systems for Some Paraconsistent Modal Logics.']"
A Systematic Review of the 2016 National Academy of Engineering Exemplary Ethics Programs: Revisions to a Coding Framework.,"['Toposes of Coalgebras and Hidden Algebras.', 'Bell States and Negative Sentences in the Distributed Model of Meaning.', 'Type-Directed Compilation for Multicore Programming.']"
The Mentor's Role in Fostering Research Integrity Standards Among New Generations of Researchers: A Review of Empirical Studies.,"['A Strategy for Making Predictions Under Manipulation.', 'Shared Hash Tables in Parallel Model Checking.', 'Comparing Calculi of Explicit Substitutions with Eta-reduction.']"
Caring in an Algorithmic World: Ethical Perspectives for Designers and Developers in Building AI Algorithms to Fight Fake News.,"['Comonadic Notions of Computation.', 'SoftMC 2003: Workshop on Software Model Checking.', 'Refining and Compressing Abstract Model Checking.']"
The Donation of Human Biological Material for Brain Organoid Research: The Problems of Consciousness and Consent.,"['From Comodels to Coalgebras: State and Arrays.', 'An axiomatics for categories of coalgebras.', 'From Set-theoretic Coinduction to Coalgebraic Coinduction: some results, some problems.', 'Rewritings for Polarized Multiplicative and Exponential Proof Structures.']"
"How Neurotech Start-Ups Envision Ethical Futures: Demarcation, Deferral, Delegation.","['Random utility models with ordered types and domains.', 'Development Separation in Lambda-Calculus.', 'Coalgebraic Semantics for Positive Modal Logic.']"
A Comparative Defense of Self-initiated Prospective Moral Answerability for Autonomous Robot harm.,"['Formal Contexts for Algebraic Domains.', 'Quantum Data and Control Made Easier.']"
Educating Engineering Students to Address Bias and Discrimination Within Their Project Teams.,"['A Tableau Method for the Lambek Calculus based on a Matrix Characterization.', 'Information based reasoning about security protocols.']"
Ambiguity in Ethical Standards: Global Versus Local Science in Explaining Academic Plagiarism.,"['Verification of Web Services with Timed Automata.', 'Preference for Knowledge.', 'A Duality in Proof Systems for Recursive Type Equality and for Bisimulation Equivalence on Cyclic Term Graphs.', 'Default Theories Over Monadic Languages: (Extended Abstract).']"
Correction: Domain Experts on Dementia-Care Technologies: Mitigating Risk in Design and Implementation.,"['Type-Directed Compilation for Multicore Programming.', 'A Quantum Game Semantics for the Measurement Calculus.', 'A Duality in Proof Systems for Recursive Type Equality and for Bisimulation Equivalence on Cyclic Term Graphs.', 'Coalgebraic structure from weak limit preserving functors.']"
Machine Ethics: Do Androids Dream of Being Good People?,"['Space-Reduction Strategies for Model Checking Dynamic Software.', 'Context Sequence Matching for XML.']"
Designing for Care.,"['Distribution, Approximation and Probabilistic Model Checking.', 'Towards a Programming Language for Interaction Nets.']"
"""Technical"" Contributors and Authorship Distribution in Health Science.","['States of Knowledge.', 'On Term Graphs as an Adhesive Category.', 'Rewritings for Polarized Multiplicative and Exponential Proof Structures.']"
Measures of Ethics and Social Responsibility Among Undergraduate Engineering Students: Findings from a Longitudinal Study.,"['Choiceless Polynomial Time, Counting and the Cai-Fürer-Immerman Graphs: (Extended Abstract).', 'Hard combinators.', 'T']"
The Value-Free Ideal of Science: A Useful Fiction? A Review of Non-epistemic Reasons for the Research Integrity Community.,['Domain Equations Based on Sets with Families of Pre-orders.']
A Survey Study on Knowledge and Attitude Toward the Ethics Committee and Research Ethical Practices Among Researchers From Kuwait.,['Virus dynamics with behavioral responses.']
Potential Issues in Mandating a Disclosure of Institutional Investigation in Retraction Notices.,"['Distributivity for endofunctors, pointed and co-pointed endofunctors, monads and comonads.']"
How Do Scientists Perceive the Relationship Between Ethics and Science? A Pilot Study of Scientists' Appeals to Values.,['Characterising E-projectives via Co-monads.']
Genetically Engineered Foods and Moral Absolutism: A Representative Study from Germany.,"['Quantum Programming With Mixed States.', 'Coalgebraic Logic over Measurable Spaces: Behavioral and Logical Equivalence.', 'Conditional Doxastic Models: A Qualitative Approach to Dynamic Belief Revision.', 'Coalgebraic Monads.']"
Co-creating Research Integrity Education Guidelines for Research Institutions.,"['From Coalgebraic to Monoidal Traces.', 'Compilation of Interaction Nets.', 'Distributed Partial Order Reduction of State Spaces.']"
AI as an Epistemic Technology.,"['Controlling Control Flow in Web Applications.', 'A Coalgebraic Semantics for Epistemic Programs.', 'Quantum Data and Control Made Easier.', 'Parity-OBDDs - a BDD structure for Probabilistic Verification.']"
Reflections on Putting AI Ethics into Practice: How Three AI Ethics Approaches Conceptualize Theory and Practice.,"['A Name Abstraction Functor for Named Sets.', 'A Duality in Proof Systems for Recursive Type Equality and for Bisimulation Equivalence on Cyclic Term Graphs.', 'Parallelism and Concurrency in Adhesive High-Level Replacement Systems with Negative Application Conditions.', 'Deciding low levels of tree-automata hierarchy.']"
"Value Change, Energy Systems, and Rational Choice: The Expected Center of Gravity Principle.",['An axiomatics for categories of coalgebras.']
Mary Blair-Loy and Erin A. Cech: Misconceiving Merit: Paradoxes in Excellence and Devotion in Academic Science and Engineering.,['Post-publication Peer Review with an Intention to Uncover Data/Result Irregularities and Potential Research Misconduct in Scientific Research: Vigilantism or Volunteerism?']
Playing Brains: The Ethical Challenges Posed by Silicon Sentience and Hybrid Intelligence in DishBrain.,['Information Filtering and Information Retrieval with the Web Filtering Toolbar.']
Is Online Moral Outrage Outrageous? Rethinking the Indignation Machine.,"['An Effective Coalgebraic Bisimulation Proof Method.', 'Distributed Partial Order Reduction for Security Protocols.', 'On a Description of Terminal Coalgebras and Iterative Theories.']"
The Contribution of Moral Case Deliberation to Teaching RCR to PhD Students.,"['Refining and Compressing Abstract Model Checking.', 'On Functional Dependencies in Advanced Data Models.']"
"A Taxonomy for Research Intergrity Training: Design, Conduct, and Improvements in Research Integrity Courses.",['Context Sequence Matching for XML.']
Exploring the Impact of Tensions in Stakeholder Norms on Designing for Value Change: The Case of Biosafety in Industrial Biotechnology.,"[""Scientists' Views on the Ethics, Promises and Practices of Synthetic Biology: A Qualitative Study of Australian Scientific Practice."", 'Coalgebraic structure from weak limit preserving functors.', 'A Duality Theorem for Quantitative Semantics.', 'Session-based Choreography with Exceptions.']"
Healthy and Happy? An Ethical Investigation of Emotion Recognition and Regulation Technologies (ERR) within Ambient Assisted Living (AAL).,"['Genetically Engineered Foods and Moral Absolutism: A Representative Study from Germany.', 'Compositional Constructor Interpretation over Coalgebraic Models for the pi-Calculus.']"
Research Misconduct Investigations in China's Science Funding System.,['Towards a Common Semantic Foundation for Use Cases and Task Models.']
Criticizing Danaher's Approach to Superficial State Deception.,['Inequational Deduction as Term Graph Rewriting.']
A Review of Scientific Ethics Issues Associated with the Recently Approved Drugs for Alzheimer's Disease.,"['On Logics for Coalgebraic Simulation.', 'Web Sites Repairing through Abduction.']"
Go Big or Go Home? A New Case for Integrating Micro-ethics and Macro-ethics in Engineering Ethics Education.,['Towards a theory of mathematical operational semantics.']
How Competition for Funding Impacts Scientific Practice: Building Pre-fab Houses but no Cathedrals.,"['A Duality Theorem for Quantitative Semantics.', 'Propositional Games with Explicit Strategies.', 'Coalgebra morphisms subsume open maps.']"
"What Do We Teach to Engineering Students: Embedded Ethics, Morality, and Politics.","['Distributed Branching Bisimulation Reduction of State Spaces.', 'Coinductive Counting: Bisimulation in Enumerative Combinatorics.', 'Timed Specification For Web Services Compatibility Analysis.', 'Coalgebraic Monads.']"
Socially Assistive Devices in Healthcare-a Systematic Review of Empirical Evidence from an Ethical Perspective.,"['On Mobility and Communication.', 'Machine Ethics: Do Androids Dream of Being Good People?']"
Post-publication Peer Review with an Intention to Uncover Data/Result Irregularities and Potential Research Misconduct in Scientific Research: Vigilantism or Volunteerism?,['What do Retraction Notices Reveal About Institutional Investigations into Allegations Underlying Retractions?']
Retractions and Rewards in Science: An Open Question for Reviewers and Funders.,"['Private disclosure with multiple agents.', 'Preference for Knowledge.', 'The Donation of Human Biological Material for Brain Organoid Research: The Problems of Consciousness and Consent.']"
AI Moral Enhancement: Upgrading the Socio-Technical System of Moral Engagement.,"['Pedagogical Orientations and Evolving Responsibilities of Technological Universities: A Literature Review of the History of Engineering Education.', 'Design and Analysis of the Causation and Prediction Challenge.']"
"Scientists' Views on the Ethics, Promises and Practices of Synthetic Biology: A Qualitative Study of Australian Scientific Practice.","['Best Agglomerative Ranked Subset for Feature Selection.', 'When is a function a fold or an unfold?']"
Loss aversion in strategy-proof school-choice mechanisms.,"['Lifting Infinite Normal Form Definitions From Term Rewriting to Term Graph Rewriting.', 'Caring in an Algorithmic World: Ethical Perspectives for Designers and Developers in Building AI Algorithms to Fight Fake News.']"
Private disclosure with multiple agents.,"['Go Big or Go Home? A New Case for Integrating Micro-ethics and Macro-ethics in Engineering Ethics Education.', 'Dagger Compact Closed Categories and Completely Positive Maps: (Extended Abstract).']"
A fiscal theory of money and bank liquidity provision.,"['Approximating Mutual Information by Maximum Likelihood Density Ratio Estimation.', 'Expressibility of Higher Order Logics.', 'Exploring the Impact of Tensions in Stakeholder Norms on Designing for Value Change: The Case of Biosafety in Industrial Biotechnology.', 'Terminal sequences for accessible endofunctors.']"
The Luce model with replicas.,"['AI Moral Enhancement: Upgrading the Socio-Technical System of Moral Engagement.', 'Machine Ethics: Do Androids Dream of Being Good People?']"
Learning and selfconfirming equilibria in network games.,"['Strong Joinability Analysis for Graph Transformation Systems in CHR.', 'A Domain-Theoretic Model Of Nominally-Typed Object-Oriented Programming.', 'Distributed Branching Bisimulation Reduction of State Spaces.']"
Virus dynamics with behavioral responses.,"['Causal and Non-Causal Feature Selection for Ridge Regression.', 'Towards a Duality Result in Coalgebraic Modal Logic.', 'Domain Equations Based on Sets with Families of Pre-orders.']"
Strategic mistakes.,"['Terminal sequences for accessible endofunctors.', 'Pedagogical Orientations and Evolving Responsibilities of Technological Universities: A Literature Review of the History of Engineering Education.']"
Preference for Knowledge.,"['Feature-based Modelling of a Complex, Online-Reconfigurable Decision Support Service.', 'From Comodels to Coalgebras: State and Arrays.', 'Reasoning about efficiency within a probabilistic µ-calculus.', 'Deforestation, program transformation, and cut-elimination.']"
Random utility models with ordered types and domains.,"['Modeling Fresh Names in the ?-calculus Using Abstractions.', 'Encapsulation and Dynamic Modularity in the pi-calculus.', 'Quality assessment of nonlinear dimensionality reduction based on K-ary neighborhoods.']"
"Public education expenditures, growth and income inequality.","['Characterizing Consistent Smyth Powerdomains by FS-∧', 'A Taxonomy for Research Intergrity Training: Design, Conduct, and Improvements in Research Integrity Courses.', 'Coinduction for recursive data types: partial orders, metric spaces and Omega-categories.']"
The dark side of transparency: When hiding in plain sight works.,['A Logical Uniform Boundedness Principle for Abstract Metric and Hyperbolic Spaces.']
Price impact under heterogeneous beliefs and restricted participation.,"['The dark side of transparency: When hiding in plain sight works.', 'Algebraic Semantics for Coalgebraic Logics.']"
Preface.,['Web Categorisation Using Distance-Based Decision Trees.']
Approximating Mutual Information by Maximum Likelihood Density Ratio Estimation.,"['Functorial Coalgebraic Logic: The Case of Many-sorted Varieties.', 'On Quantum and Probabilistic Linear Lambda-calculi (Extended Abstract).', 'Healthy and Happy? An Ethical Investigation of Emotion Recognition and Regulation Technologies (ERR) within Ambient Assisted Living (AAL).', 'Monoid-labeled transition systems.']"
A Strategy for Making Predictions Under Manipulation.,"['Deciding Nondeterministic Hierarchy of Deterministic Tree Automata.', 'Benchmarking Explicit State Parallel Model Checkers.']"
Keyword Optimization in Sponsored Search via Feature Selection.,"['Design and Analysis of the Causation and Prediction Challenge.', 'Cut Elimination in a Class of Sequent Calculi for Pure Type Systems.', 'Some Lessons from Using Static Analysis and Software Model Checking for Bug Finding.']"
Partial orientation and local structural learning of causal networks for prediction.,['Toy Quantum Categories (Extended Abstract).']
On the Relationship Between Feature Selection and Classification Accuracy.,['Composition Theorems for Generalized Sum and Recursively Defined Types.']
Unsupervised Feature Selection for Pattern Discovery in Seismic Wavefields.,"['Development Separation in Lambda-Calculus.', 'Formal Verification of Websites.', 'A Symbolic Semantics for a Calculus for Service-Oriented Computing.', 'Web Verification: Perspective and Challenges.']"
Causal and Non-Causal Feature Selection for Ridge Regression.,['Symmetry and Composition in Probabilistic Theories.']
Design and Analysis of the Causation and Prediction Challenge.,"['A Cartesian Closed Category of Domains with Almost Algebraic Bases.', 'Completely Precontinuous Posets.', 'Web Accessibility Evaluation Tools: A Survey and Some Improvements.', 'Quality assessment of nonlinear dimensionality reduction based on K-ary neighborhoods.']"
Unsupervised Variable Selection: when random rankings sound as irrelevancy.,"['Epistemic and Non-epistemic Values in Earthquake Engineering.', 'Choiceless Polynomial Time, Counting and the Cai-Fürer-Immerman Graphs: (Extended Abstract).']"
Multi-Source Feature Selection via Geometry-Dependent Covariance Analysis.,"['Algebraic Structure of Web Services.', 'Gap Embedding for Well-Quasi-Orderings.']"
"A Bayesian View of Challenges in Feature Selection: Feature Aggregation, Multiple Targets, Redundancy and Interaction.","['Towards a Quantum Calculus: (Work in Progress, Extended Abstract).', 'Information Filtering and Information Retrieval with the Web Filtering Toolbar.', 'A Name Abstraction Functor for Named Sets.', 'Coalgebraic Monads.']"
Exploiting tree-based variable importances to selectively identify relevant variables.,"['Is Online Moral Outrage Outrageous? Rethinking the Indignation Machine.', 'On Rough Concept Lattices.', 'Comonadic Notions of Computation.', 'Deciding low levels of tree-automata hierarchy.']"
Random Sets Approach and its Applications.,"['Deciding low levels of tree-automata hierarchy.', 'Conditional Doxastic Models: A Qualitative Approach to Dynamic Belief Revision.', 'Principles of Distributed Object Database Languages.', 'Monoid-labeled transition systems.']"
Unsupervised feature selection applied to SPOT5 satellite images indexing.,['Development Separation in Lambda-Calculus.']
Transferring Knowledge by Prior Feature Sampling.,"['Invariants of monadic coalgebras.', 'An Algebra for Directed Bigraphs.', 'Implementing X.', 'Continuous Functions on Final Coalgebras.']"
Best Agglomerative Ranked Subset for Feature Selection.,"['On Term Graphs as an Adhesive Category.', 'Classical Representations of Qubit Channels.', 'Inequational Deduction as Term Graph Rewriting.']"
Feature Ranking Using Linear SVM.,['Towards Behavioral Maude: Behavioral Membership Equational Logic.']
Bernoulli Mixture Models for Markov Blanket Filtering and Classification.,['A Tableau Method for the Lambek Calculus based on a Matrix Characterization.']
Quality assessment of nonlinear dimensionality reduction based on K-ary neighborhoods.,"['How Competition for Funding Impacts Scientific Practice: Building Pre-fab Houses but no Cathedrals.', 'Coalgebraic structure from weak limit preserving functors.', 'Bell States and Negative Sentences in the Distributed Model of Meaning.']"
A Coequational Approach to Specifying Behaviours.,"['Characterising E-projectives via Co-monads.', 'Coalgebraic Logic over Measurable Spaces: Behavioral and Logical Equivalence.', 'Strong Joinability Analysis for Graph Transformation Systems in CHR.', 'Compilation of Interaction Nets.']"
Recursive Program Schemes and Context-Free Monads.,['A Note on Finitely Derived Information Systems.']
Compilation of Interaction Nets.,"['Toy Quantum Categories (Extended Abstract).', 'Type-Directed Compilation for Multicore Programming.', 'From Fairness to Chance.']"
Algebraic Semantics for Coalgebraic Logics.,['Interface-Based Specification and Verification of Concurrency Controllers.']
Infinitary Howe's Method.,"['A Calculus of Terms for Coalgebras of Polynomial Functors.', 'Dagger Compact Closed Categories and Completely Positive Maps: (Extended Abstract).']"
Modal Operators for Coequations.,"['Private disclosure with multiple agents.', 'Symmetry and Composition in Probabilistic Theories.', ""Analytical Tableaux for da Costa's Hierarchy of Paraconsistent Logics.""]"
Shared Hash Tables in Parallel Model Checking.,"['Nonstandard Meromorphic Groups.', 'Non Truth-Functional Many-Valuedness.', 'Coalgebraic Reasoning about Classes in Object-Oriented Languages.', 'Comonadic Notions of Computation.']"
Locality of Queries and Transformations.,"['Random utility models with ordered types and domains.', 'Web Verification: Perspective and Challenges.']"
"Relating Toy Models of Quantum Computation: Comprehension, Complementarity and Dagger Mix Autonomous Categories.","['Modal Rules are Co-Implications.', 'Specification and Analysis of SOC Systems Using COWS: A Finance Case Study.']"
Correlated Information: A Logic for Multi-Partite Quantum Systems.,"['Modal Operators for Coequations.', ""Infinitary Howe's Method.""]"
Modeling Pointer Redirection as Cyclic Term-graph Rewriting.,['Coalgebra morphisms subsume open maps.']
Characterizations of Supercontinuous Posets via Scott S-sets and the S-essential Topology.,"['Public education expenditures, growth and income inequality.']"
T,"['Default Theories Over Monadic Languages: (Extended Abstract).', 'Transferring Knowledge by Prior Feature Sampling.', 'Coalgebra morphisms subsume open maps.']"
Coinduction in Control of Partially Observed Discrete-Event Systems.,"['How Iterative are Iterative Algebras?', 'Modeling Fresh Names in the ?-calculus Using Abstractions.', 'Large-Scale Parallel Computing on Grids.', 'Shared Hash Tables in Parallel Model Checking.']"
Towards Behavioral Maude: Behavioral Membership Equational Logic.,"['Healthy and Happy? An Ethical Investigation of Emotion Recognition and Regulation Technologies (ERR) within Ambient Assisted Living (AAL).', 'A coalgebraic introduction to CSP.']"
Implementing Nominal Unification.,"['A Local Graph-rewriting System for Deciding Equality in Sum-product Theories.', 'The Implication Problem of Functional Dependencies in Complex-value Databases.']"
Macros for Interaction Nets: A Conservative Extension of Interaction Nets.,"['Semantic domains based on sets with families of equivalences.', 'Modal Operators for Coequations.', 'Checking Java implementation of a naming architecture using Testera.']"
A Calculus of Terms for Coalgebras of Polynomial Functors.,['Pauli Measurements are Universal.']
Web Accessibility Evaluation Tools: A Survey and Some Improvements.,"['Merging Hierarchically-Structured Documents in Workflow Systems.', 'The Approximate Correctness of Systems Based on δ-bisimulation.', 'A Quantified Logic of Evidence.', 'Deciding low levels of tree-automata hierarchy.']"
A Case Study in Parallel Verification of Component-Based Systems.,"['From Reversible to Irreversible Computations.', 'Session-based Choreography with Exceptions.', ""Criticizing Danaher's Approach to Superficial State Deception.""]"
Verification of Quantum Protocols with a Probabilistic Model-Checker.,"['Predicate Liftings Versus Nabla Modalities.', 'Toposes of Coalgebras and Hidden Algebras.']"
Sharing Implementations of Graph Rewriting Systems.,['Monoid-labeled transition systems.']
A Higher-Order Calculus for Graph Transformation.,"['Improving the Quality of Web-based Enterprise Applications with Extended Static Checking: A Case Study.', 'On Logics for Coalgebraic Simulation.']"
From Comodels to Coalgebras: State and Arrays.,['New Algorithms for Solving Simple Stochastic Games.']
A Short Introduction to Clones.,['The Axiom System ISigma']
From Reversible to Irreversible Computations.,"['Refining and Compressing Abstract Model Checking.', 'AI as an Epistemic Technology.', 'Covarieties and Complete Covarieties.', 'Caring in an Algorithmic World: Ethical Perspectives for Designers and Developers in Building AI Algorithms to Fight Fake News.']"
On Monotone Determined Spaces.,"['Parallel Model Checking for LTL, CTL*, and Lµ', 'Parallelism and Concurrency in Adhesive High-Level Replacement Systems with Negative Application Conditions.', 'How Neurotech Start-Ups Envision Ethical Futures: Demarcation, Deferral, Delegation.', 'A Tableau Method for the Lambek Calculus based on a Matrix Characterization.']"
Default Theories Over Monadic Languages: (Extended Abstract).,['Conditional Doxastic Models: A Qualitative Approach to Dynamic Belief Revision.']
Characterizing Consistent Smyth Powerdomains by FS-∧,"['Observation systems.', 'Designing for Care.']"
Service Discovery and Negotiation With COWS.,['Probabilistic confinement in a declarative framework.']
A Symbolic Semantics for a Calculus for Service-Oriented Computing.,"['From Coalgebraic to Monoidal Traces.', 'Exploring the Impact of Tensions in Stakeholder Norms on Designing for Value Change: The Case of Biosafety in Industrial Biotechnology.']"
A Coalgebraic View of Infinite Trees and Iteration.,"['Exploiting tree-based variable importances to selectively identify relevant variables.', 'Keyword Optimization in Sponsored Search via Feature Selection.', 'Reflections on Putting AI Ethics into Practice: How Three AI Ethics Approaches Conceptualize Theory and Practice.']"
Monadic Second-Order Logic and Transitive Closure Logics over Trees.,['Bernoulli Mixture Models for Markov Blanket Filtering and Classification.']
Coinduction in Concurrent Timed Systems.,"['What Do We Teach to Engineering Students: Embedded Ethics, Morality, and Politics.', 'From Coalgebraic to Monoidal Traces.', 'Genetically Engineered Foods and Moral Absolutism: A Representative Study from Germany.']"
Bridging the Web Accessibility Divide.,['Socially Assistive Devices in Healthcare-a Systematic Review of Empirical Evidence from an Ethical Perspective.']
"Notes on Coalgebras, Cofibrations and Concurrency.","['Semantic domains based on sets with families of equivalences.', 'Living with Paradoxes.', 'The Thermodynamic Arrow-of-time and Quantum Mechanics.', 'Epistemic and Non-epistemic Values in Earthquake Engineering.']"
An Overview of QML With a Concrete Implementation in Haskell.,"['Some Lessons from Using Static Analysis and Software Model Checking for Bug Finding.', 'Final Coalgebras And a Solution Theorem for Arbitrary Endofunctors.']"
The Implication Problem of Functional Dependencies in Complex-value Databases.,"['Service Discovery and Negotiation With COWS.', 'Development Separation in Lambda-Calculus.', 'Quantum Logic in Dagger Kernel Categories.']"
Distributed Partial Order Reduction for Security Protocols.,"['Constructing Formally Verified Reasoners for the ACL Description Logic.', 'Towards a theory of mathematical operational semantics.', 'Representation of FS-domains Based on Closure Spaces.']"
An Algebra for Directed Bigraphs.,"['Generalizing Topological Set Operators.', 'Towards Behavioral Maude: Behavioral Membership Equational Logic.', 'Probabilistic behaviours of reactive agents.', 'Coalgebra morphisms subsume open maps.']"
Modeling concurrent systems specified in a temporal concurrent constraint language-I.,"['Notes on Coalgebras, Cofibrations and Concurrency.', 'A Logical Uniform Boundedness Principle for Abstract Metric and Hyperbolic Spaces.', 'Abstract interpretation for proving secrecy properties in security protocols.']"
Interaction Nets With Nested Pattern Matching.,"['States of Knowledge.', 'Distributed Model Checking: From Abstract Algorithms to Concrete Implementations.', 'Clones with Nullary Operations.', 'A Logic for Ambiguous Description.']"
Towards an awareness-based semantics for security protocol analysis.,"['A Branching Time Logical System for Open Distributed Systems Development.', 'Interface-Based Specification and Verification of Concurrency Controllers.']"
On Functional Dependencies in Advanced Data Models.,['On the Semantic Foundations of Probabilistic Synchronous Reactive Programs.']
Modelling Parallel Quantum Computing Using Transactional Memory.,['The Duality Theory of General Z-continuous Posets.']
Predicate and Relation Lifting for Parametric Algebraic Specifications.,"['Socially Assistive Devices in Healthcare-a Systematic Review of Empirical Evidence from an Ethical Perspective.', 'Feature-based Modelling of a Complex, Online-Reconfigurable Decision Support Service.']"
A Tableau Method for the Lambek Calculus based on a Matrix Characterization.,"['Addressed Term Rewriting Systems: Syntax, Semantics, and Pragmatics: Extended Abstract.', 'Specification and Analysis of SOC Systems Using COWS: A Finance Case Study.', 'Sharing Implementations of Graph Rewriting Systems.', 'Inductive Behavioral Proofs by Unhiding.']"
Implementing X.,"['Confluence Results for a Quantum Lambda Calculus with Measurements.', 'Towards a Notion of Lambda Monoid.', 'Measuring and Evaluating Parallel State-Space Exploration Algorithms.']"
Two-dimensional linear algebra.,['A Calculus of Terms for Coalgebras of Polynomial Functors.']
"Monadic Corecursion - Definition, Fusion Laws, and Applications.","['A Coalgebraic Approach to Kleene Algebra with Tests.', ""Analytical Tableaux for da Costa's Hierarchy of Paraconsistent Logics."", 'Deforestation, program transformation, and cut-elimination.', 'Coalgebraic Reasoning about Classes in Object-Oriented Languages.']"
Comonadic Notions of Computation.,"['Probabilistic confinement in a declarative framework.', 'Partial orientation and local structural learning of causal networks for prediction.']"
"Coinduction for recursive data types: partial orders, metric spaces and Omega-categories.","['Formal Contexts for Algebraic Domains.', 'On Mobility and Communication.', 'Constructing Formally Verified Reasoners for the ACL Description Logic.']"
De-linearizing Linearity: Projective Quantum Axiomatics From Strong Compact Closure.,"['On Corelations, Cokernels, and Coequations.', 'Continuous Domains and their Information System Representation as Logical Systems.']"
A Quantum Game Semantics for the Measurement Calculus.,"['Notes on Coalgebras, Cofibrations and Concurrency.', 'Value Change, Energy Systems, and Rational Choice: The Expected Center of Gravity Principle.', 'Unsupervised Feature Selection for Pattern Discovery in Seismic Wavefields.', 'A Database Approach to Distributed State Space Generation.']"
A Coalgebraic Approach to Kleene Algebra with Tests.,"['Strongly Semicontinuous Lattices.', 'Service Discovery and Negotiation With COWS.', 'Quasi-continuous Yoneda Complete Quasi-Metric Space.']"
