paper,cites
k-Valued Non-Associative Lambek Grammars are Learnable from Function-Argument Structures.,"['Correlated Information: A Logic for Multi-Partite Quantum Systems.', 'Automatically Verifying Concurrent Queue Algorithms.', 'Preface.', 'A Survey Study on Knowledge and Attitude Toward the Ethics Committee and Research Ethical Practices Among Researchers From Kuwait.']"
Model checking Erlang programs - abstracting the context-free structure.,['AI Moral Enhancement: Upgrading the Socio-Technical System of Moral Engagement.']
Quantifier-free logic for multialgebraic theories.,['Predicate and Relation Lifting for Parametric Algebraic Specifications.']
"(Omega, Xi)-Logic: On the Algebraic Extension of Coalgebraic Specifications.","['Encapsulation and Dynamic Modularity in the pi-calculus.', 'Validating Scripted Web-Pages.', 'Symbolic Model Checking of Software.']"
Strongly Semicontinuous Lattices.,"['Some Lessons from Using Static Analysis and Software Model Checking for Bug Finding.', 'Deciding low levels of tree-automata hierarchy.', 'A Database Approach to Distributed State Space Generation.']"
Recursive Coalgebras from Comonads.,"['Post-publication Peer Review with an Intention to Uncover Data/Result Irregularities and Potential Research Misconduct in Scientific Research: Vigilantism or Volunteerism?', 'Notes on Coalgebras, Cofibrations and Concurrency.']"
Modal Predicates and Co-equations.,['On automating the extraction of programs from proofs using product types.']
A Quantified Logic of Evidence.,['Approximating Mutual Information by Maximum Likelihood Density Ratio Estimation.']
Non Truth-Functional Many-Valuedness.,"['The Axiom System ISigma', 'Specification and Analysis of SOC Systems Using COWS: A Finance Case Study.', 'Potential Issues in Mandating a Disclosure of Institutional Investigation in Retraction Notices.']"
The Approximate Correctness of Systems Based on δ-bisimulation.,"['Encryption as an abstract data type.', 'Abstract interpretation for proving secrecy properties in security protocols.', 'Best Agglomerative Ranked Subset for Feature Selection.']"
Statistics of implicational logic.,"['Characterizations of Various Continuities of Posets Via Approximated Elements.', 'Automatically Verifying Concurrent Queue Algorithms.']"
Rewritings for Polarized Multiplicative and Exponential Proof Structures.,['Specification and Analysis of SOC Systems Using COWS: A Finance Case Study.']
An RDF Query Language based on Logic Programming.,['A Coalgebraic View of Infinite Trees and Iteration.']
Additive Consolidation with Maximal Change.,"['An RDF Query Language based on Logic Programming.', 'Final Coalgebras And a Solution Theorem for Arbitrary Endofunctors.', 'Verification of Web Services with Timed Automata.']"
Rational Unification in 28 Characters.,"['From Fairness to Chance.', 'Algebraic Structure of Web Services.']"
Closures in Binary Partial Algebras.,"['k-Valued Non-Associative Lambek Grammars are Learnable from Function-Argument Structures.', 'Coinduction in Concurrent Timed Systems.', 'A Local Graph-rewriting System for Deciding Equality in Sum-product Theories.']"
Symmetry and Composition in Probabilistic Theories.,"[""The Mentor's Role in Fostering Research Integrity Standards Among New Generations of Researchers: A Review of Empirical Studies."", 'Causal and Non-Causal Feature Selection for Ridge Regression.']"
Towards a Notion of Lambda Monoid.,"['Terminal sequences for accessible endofunctors.', 'Distributivity for endofunctors, pointed and co-pointed endofunctors, monads and comonads.']"
On Interpolation Problem in Paraconsistent Extensions of the Minimal Logic.,"['On Decidability Properties of Local Sentences.', 'Controlling Control Flow in Web Applications.', 'A Noninterleaving Model of Concurrency Based on Transition Systems with Spatial Structure.', 'Service Discovery and Negotiation With COWS.']"
Distributed Model Checking: From Abstract Algorithms to Concrete Implementations.,"['Information Filtering and Information Retrieval with the Web Filtering Toolbar.', 'Idempotents in Dagger Categories: (Extended Abstract).', 'Monadic Corecursion - Definition, Fusion Laws, and Applications.']"
A Local Graph-rewriting System for Deciding Equality in Sum-product Theories.,['Towards a theory of mathematical operational semantics.']
Towards a theory of mathematical operational semantics.,['Benchmarking Explicit State Parallel Model Checkers.']
Reasoning with Graphs.,"['Towards a Programming Language for Interaction Nets.', 'Modal Rules are Co-Implications.', 'Gap Embedding for Well-Quasi-Orderings.', 'Monadic Corecursion - Definition, Fusion Laws, and Applications.']"
The Axiom System ISigma,['Countably Sober Spaces.']
Parity-OBDDs - a BDD structure for Probabilistic Verification.,"['Relating Toy Models of Quantum Computation: Comprehension, Complementarity and Dagger Mix Autonomous Categories.', 'Universal Boolean Systems.', 'NaN']"
Conditional Doxastic Models: A Qualitative Approach to Dynamic Belief Revision.,"['A Quantum Game Semantics for the Measurement Calculus.', 'Terminal sequences for accessible endofunctors.', 'A Note on Hyperspaces and Terminal Coalgebras.']"
On Subset Families That Form a Continuous Lattice.,['Characterizations of Various Continuities of Posets Via Approximated Elements.']
A Duality Theorem for Quantitative Semantics.,"['Greatest Bisimulations for Binary Methods.', 'Towards an awareness-based semantics for security protocol analysis.', 'The Invariant Set Hypothesis: A New Geometric Framework for the Foundations of Quantum Theory and the Role Played by Gravity.']"
NaN,['Observational Equivalence for the Interaction Combinators and Internal Separation.']
Final Coalgebras And a Solution Theorem for Arbitrary Endofunctors.,"['A Syntactical Approach to Weak (Bi-)Simulation for Coalgebras.', 'Domain Equations Based on Sets with Families of Pre-orders.', 'Predicate Liftings Versus Nabla Modalities.']"
Monoid-labeled transition systems.,"['The Value-Free Ideal of Science: A Useful Fiction? A Review of Non-epistemic Reasons for the Research Integrity Community.', 'Lattices of Irreducibly-derived Closed Sets.']"
Quantum Programs With Classical Output Streams: (Extended Abstract).,['Probabilistic confinement in a declarative framework.']
Continuous Functions on Final Coalgebras.,"['Improving the Quality of Web-based Enterprise Applications with Extended Static Checking: A Case Study.', 'Virus dynamics with behavioral responses.']"
"From Set-theoretic Coinduction to Coalgebraic Coinduction: some results, some problems.","['Characterizations of Various Continuities of Posets Via Approximated Elements.', 'Game Semantics for Quantum Data.', 'Coalgebras for Fuzzy Transition Systems.', 'Computing Probability Bounds for Linear Time Formulas over Concurrent Probabilistic Systems.']"
On a Condition for Semirings to Induce Compact Information Algebras.,['Mixing Up Nondeterminism and Probability: a preliminary report.']
On the Relations between Disjunctive and Linear Logic Programming.,"['Attacking fair-exchange protocols: parallel models vs trace models.', 'A Noninterleaving Model of Concurrency Based on Transition Systems with Spatial Structure.', 'Algebraic Structure of Web Services.']"
Universal Boolean Systems.,"['Probabilistic confinement in a declarative framework.', 'Symmetry and Composition in Probabilistic Theories.', 'Expressibility of Higher Order Logics.', 'A Visual Technique for Web Pages Comparison.']"
From Varieties of Algebras to Covarieties of Coalgebras.,"['Retractions and Rewards in Science: An Open Question for Reviewers and Funders.', 'A Comparative Defense of Self-initiated Prospective Moral Answerability for Autonomous Robot harm.', 'Semantic domains based on sets with families of equivalences.']"
Chaotic Actions of Locally Compact Hausdorff Topological Groups.,"[""The Mentor's Role in Fostering Research Integrity Standards Among New Generations of Researchers: A Review of Empirical Studies."", ""Analytical Tableaux for da Costa's Hierarchy of Paraconsistent Logics."", 'Healthy and Happy? An Ethical Investigation of Emotion Recognition and Regulation Technologies (ERR) within Ambient Assisted Living (AAL).', 'Reduction Semantics and Formal Analysis of Orc Programs.']"
A Logical Uniform Boundedness Principle for Abstract Metric and Hyperbolic Spaces.,"['Formal Verification of Websites.', 'Characterizations of Various Continuities of Posets Via Approximated Elements.', 'Parallel Model Checking for LTL, CTL*, and Lµ']"
Large-Scale Parallel Computing on Grids.,"['Refinement: A Constructive Approach to Formal Software Design for a Secure e-voting Interface.', 'Parallel Model Checking for LTL, CTL*, and Lµ', 'Virus dynamics with behavioral responses.']"
Quantum Arrows in Haskell.,['Toposes of Coalgebras and Hidden Algebras.']
On a Description of Terminal Coalgebras and Iterative Theories.,"['An axiomatics for categories of coalgebras.', 'Hard combinators.', 'Quantum Programming With Mixed States.']"
A Programming Language for the Interval Geometric Machine.,"['Space-Reduction Strategies for Model Checking Dynamic Software.', 'From Coalgebraic to Monoidal Traces.', ""How Do Scientists Perceive the Relationship Between Ethics and Science? A Pilot Study of Scientists' Appeals to Values.""]"
A Coalgebraic Semantics for Epistemic Programs.,['Recursive Program Schemes and Context-Free Monads.']
Deciding low levels of tree-automata hierarchy.,"['Go Big or Go Home? A New Case for Integrating Micro-ethics and Macro-ethics in Engineering Ethics Education.', ""Research Misconduct Investigations in China's Science Funding System."", 'Automated Compositional Abstraction Refinement for Concurrent C Programs: A Two-Level Approach.', 'Quality assessment of nonlinear dimensionality reduction based on K-ary neighborhoods.']"
Languages for Coalgebras on Datafunctors.,"['Approximating Mutual Information by Maximum Likelihood Density Ratio Estimation.', 'Learning and selfconfirming equilibria in network games.']"
Terminal sequences for accessible endofunctors.,"['Some Co-Birkhoff Type Theorems.', 'Synthesis of Optimal Strategies Using HyTech.']"
An axiomatics for categories of coalgebras.,['A Local Graph-rewriting System for Deciding Equality in Sum-product Theories.']
Observational Equivalence for the Interaction Combinators and Internal Separation.,"['SoftMC 2003: Workshop on Software Model Checking.', 'Coinductive Counting: Bisimulation in Enumerative Combinatorics.', 'A Calculus of Terms for Coalgebras of Polynomial Functors.', 'Using Assumptions to Distribute Alternation Free Mu-Calculus Model Checking.']"
Session-based Choreography with Exceptions.,"['The dark side of transparency: When hiding in plain sight works.', 'Some Lessons from Using Static Analysis and Software Model Checking for Bug Finding.']"
Distributed Branching Bisimulation Reduction of State Spaces.,"['Design for AJACS, yet another Java constraint programming framework.', 'Playing Brains: The Ethical Challenges Posed by Silicon Sentience and Hybrid Intelligence in DishBrain.', 'A Note on Hyperspaces and Terminal Coalgebras.']"
Formal Modelling of PKI Based Authentication.,"['Distributed Partial Order Reduction of State Spaces.', 'A Symbolic Semantics for a Calculus for Service-Oriented Computing.', 'Expressibility of Higher Order Logics.', 'Mary Blair-Loy and Erin A. Cech: Misconceiving Merit: Paradoxes in Excellence and Devotion in Academic Science and Engineering.']"
Observation systems.,"['Coalgebra morphisms subsume open maps.', 'Parallel Multithreaded Satisfiability Solver: Design and Implementation.']"
Approximations of Modal Logic K.,"['Characterising E-projectives via Co-monads.', 'Inductive Behavioral Proofs by Unhiding.']"
Generalized Scott Topology on Sets with Families of Pre-orders.,"['Deforestation, program transformation, and cut-elimination.', 'A Coalgebraic View of Infinite Trees and Iteration.']"
Towards a Duality Result in Coalgebraic Modal Logic.,"['Value Change, Energy Systems, and Rational Choice: The Expected Center of Gravity Principle.', 'Expressibility of Higher Order Logics.', 'Coalgebraic Semantics for Positive Modal Logic.']"
The Thermodynamic Arrow-of-time and Quantum Mechanics.,['Characterizations of Various Continuities of Posets Via Approximated Elements.']
Generalizing Topological Set Operators.,['Toposes of Coalgebras and Hidden Algebras.']
Invariants of monadic coalgebras.,"['A Noninterleaving Model of Concurrency Based on Transition Systems with Spatial Structure.', 'From Fairness to Chance.', 'Is Online Moral Outrage Outrageous? Rethinking the Indignation Machine.', 'Potential Issues in Mandating a Disclosure of Institutional Investigation in Retraction Notices.']"
On automating the extraction of programs from proofs using product types.,['Uniform Topological Spaces Based on BF-ideals in Negative Non-involutive Residuated Lattices.']
An Equivalence between Dependencies in Nested Databases and a Fragment of Propositional Logic.,['Synthesis of Optimal Strategies Using HyTech.']
"Addressed Term Rewriting Systems: Syntax, Semantics, and Pragmatics: Extended Abstract.",['Machine Ethics: Do Androids Dream of Being Good People?']
On Term Graphs as an Adhesive Category.,"['Space-Reduction Strategies for Model Checking Dynamic Software.', 'Operational Semantics for Reexecution-based Analysis of Logic Programs with Delay Declarations.', 'Random utility models with ordered types and domains.']"
Using Assumptions to Distribute Alternation Free Mu-Calculus Model Checking.,['Modeling concurrent systems specified in a temporal concurrent constraint language-I.']
Quantifying over Quantifiers.,"['On Expressivity and Compositionality in Logics for Coalgebras.', 'Development Separation in Lambda-Calculus.', 'States of Knowledge.']"
A Note on Hyperspaces and Terminal Coalgebras.,['An Overview of QML With a Concrete Implementation in Haskell.']
Reasoning about efficiency within a probabilistic µ-calculus.,"['New Algorithms for Solving Simple Stochastic Games.', 'Towards an awareness-based semantics for security protocol analysis.', 'Coalgebraic Logic over Measurable Spaces: Behavioral and Logical Equivalence.', 'Pedagogical Orientations and Evolving Responsibilities of Technological Universities: A Literature Review of the History of Engineering Education.']"
Lifting Infinite Normal Form Definitions From Term Rewriting to Term Graph Rewriting.,"['Socially Assistive Devices in Healthcare-a Systematic Review of Empirical Evidence from an Ethical Perspective.', 'Unsupervised feature selection applied to SPOT5 satellite images indexing.']"
Generalized Coiteration Schemata.,"['Countably Sober Spaces.', 'AI as an Epistemic Technology.']"
Completely Precontinuous Posets.,"['Towards a Duality Result in Coalgebraic Modal Logic.', 'Large-Scale Parallel Computing on Grids.', 'Natural Deduction for Full S5 Modal Logic with Weak Normalization.', 'Deforestation, program transformation, and cut-elimination.']"
Characterizations of Various Continuities of Posets Via Approximated Elements.,"['Greatest Bisimulations for Binary Methods.', 'Deciding Nondeterministic Hierarchy of Deterministic Tree Automata.', 'Monadic Corecursion - Definition, Fusion Laws, and Applications.']"
On Mobility and Communication.,"['Implementing X.', 'The Thermodynamic Arrow-of-time and Quantum Mechanics.', '""Technical"" Contributors and Authorship Distribution in Health Science.']"
Attacking fair-exchange protocols: parallel models vs trace models.,"['Unsupervised feature selection applied to SPOT5 satellite images indexing.', 'Public education expenditures, growth and income inequality.', 'Ethics Inside the Black Box: Integrating Science and Technology Studies into Engineering and Public Policy Curricula.', 'A Coalgebraic Representation of Reduction by Cone of Influence.']"
Comprehension for Coalgebras.,"['Living with Paradoxes.', 'Invariants of monadic coalgebras.']"
Predicate Liftings Versus Nabla Modalities.,"['Ethics Inside the Black Box: Integrating Science and Technology Studies into Engineering and Public Policy Curricula.', ""Research Misconduct Investigations in China's Science Funding System."", 'On Corelations, Cokernels, and Coequations.']"
Information Processing in Convex Operational Theories.,['Automated Compositional Abstraction Refinement for Concurrent C Programs: A Two-Level Approach.']
Countably Sober Spaces.,"['Substitution in Non-wellfounded Syntax with Variable Binding.', 'On Rough Concept Lattices.', 'Co-creating Research Integrity Education Guidelines for Research Institutions.']"
A Coalgebraic Representation of Reduction by Cone of Influence.,['Strong Joinability Analysis for Graph Transformation Systems in CHR.']
Quasi-continuous Yoneda Complete Quasi-Metric Space.,"['AI as an Epistemic Technology.', 'Greatest Bisimulations for Binary Methods.']"
The Relationships Between KM-fuzzy Quasi-metric Spaces and the Associated Posets of Formal Balls.,"['Epistemic and Non-epistemic Values in Earthquake Engineering.', 'Propositional Games with Explicit Strategies.', 'A Database Approach to Distributed State Space Generation.']"
Mixing Up Nondeterminism and Probability: a preliminary report.,"['Coalgebras for Fuzzy Transition Systems.', 'From Comodels to Coalgebras: State and Arrays.', 'Modular Games for Coalgebraic Fixed Point Logics.']"
Greatest Bisimulations for Binary Methods.,"['Cut Elimination in a Class of Sequent Calculi for Pure Type Systems.', 'Web Accessibility Evaluation Tools: A Survey and Some Improvements.', 'Parallel and Symbolic Model Checking for Fixpoint Logic with Chop.']"
An Algebra of Automata That Includes Both Classical and Quantum Entities.,"['How Iterative are Iterative Algebras?', 'Completely Precontinuous Posets.', 'A fiscal theory of money and bank liquidity provision.', 'Coequational Logic for Finitary Functors.']"
Continuous Prequantale Models of ,"['Refining and Compressing Abstract Model Checking.', 'A Cartesian Closed Category of Domains with Almost Algebraic Bases.', 'A Domain-Theoretic Model Of Nominally-Typed Object-Oriented Programming.']"
Abstract interpretation for proving secrecy properties in security protocols.,"['Information Filtering and Information Retrieval with the Web Filtering Toolbar.', 'A Systematic Review of the 2016 National Academy of Engineering Exemplary Ethics Programs: Revisions to a Coding Framework.', 'Quality assessment of nonlinear dimensionality reduction based on K-ary neighborhoods.']"
Coalgebraic Semantics for Positive Modal Logic.,['The Approximate Correctness of Systems Based on δ-bisimulation.']
Coalgebraic Reasoning about Classes in Object-Oriented Languages.,['A Coalgebraic Representation of Reduction by Cone of Influence.']
Inductive Behavioral Proofs by Unhiding.,"['Design for AJACS, yet another Java constraint programming framework.']"
Analytical Tableaux for da Costa's Hierarchy of Paraconsistent Logics.,['Quantifying over Quantifiers.']
Information Filtering and Information Retrieval with the Web Filtering Toolbar.,"['A Cartesian Closed Category of Domains with Almost Algebraic Bases.', 'A Coalgebraic View of Infinite Trees and Iteration.', 'Modeling Fresh Names in the ?-calculus Using Abstractions.', 'Intersection Types and Computational Rules.']"
Strong Joinability Analysis for Graph Transformation Systems in CHR.,"['Refining and Compressing Abstract Model Checking.', 'Improving the Quality of Web-based Enterprise Applications with Extended Static Checking: A Case Study.', 'Interaction Nets With Nested Pattern Matching.', 'Rewritings for Polarized Multiplicative and Exponential Proof Structures.']"
"Distribution, Approximation and Probabilistic Model Checking.","['Best Agglomerative Ranked Subset for Feature Selection.', 'A Noninterleaving Model of Concurrency Based on Transition Systems with Spatial Structure.']"
Synchronous Multiparty Session Types.,['Reductions and Saturation Reductions of (Abstract) Knowledge Bases.']
Dagger Compact Closed Categories and Completely Positive Maps: (Extended Abstract).,['Is Online Moral Outrage Outrageous? Rethinking the Indignation Machine.']
Bell States and Negative Sentences in the Distributed Model of Meaning.,"['Fragments of Monadic Second-Order Logics Over Word Structures.', 'Toposes of Coalgebras and Hidden Algebras.']"
Merging Hierarchically-Structured Documents in Workflow Systems.,"[""Principal Investigators' Priorities and Perceived Barriers and Facilitators When Making Decisions About Conducting Essential Research in the COVID-19 Pandemic."", 'Scalable Distributed Model Checking: Experiences, Lessons, and Expectations.', 'From Coalgebraic to Monoidal Traces.']"
Specifying Coalgebras with Modal Logic.,['Hard combinators.']
A Visual Technique for Web Pages Comparison.,"['Ambiguity in Ethical Standards: Global Versus Local Science in Explaining Academic Plagiarism.', 'On Logics for Coalgebraic Simulation.']"
From SOS Specifications to Structured Coalgebras: How to Make Bisimulation a Congruence.,"['Gap Embedding for Well-Quasi-Orderings.', 'Verification of Quantum Protocols with a Probabilistic Model-Checker.', 'A Systematic Review of the 2016 National Academy of Engineering Exemplary Ethics Programs: Revisions to a Coding Framework.', 'A Quantified Logic of Evidence.']"
A Database Approach to Distributed State Space Generation.,"['Mixing Up Nondeterminism and Probability: a preliminary report.', 'Generalized Scott Topology on Sets with Families of Pre-orders.', 'Using Assumptions to Distribute Alternation Free Mu-Calculus Model Checking.']"
Modular Games for Coalgebraic Fixed Point Logics.,"['The Approximate Correctness of Systems Based on δ-bisimulation.', 'From SOS Specifications to Structured Coalgebras: How to Make Bisimulation a Congruence.', 'Scenarios and Covert Channels: Another Game...']"
Preface: WoLLIC 2002,"['A Strategy for Making Predictions Under Manipulation.', 'Distributed Model Checking: From Abstract Algorithms to Concrete Implementations.']"
Modularity of Behaviours for Mathematical Operational Semantics.,"['Some Lessons from Using Static Analysis and Software Model Checking for Bug Finding.', 'Machine Ethics: Do Androids Dream of Being Good People?', 'Merging Hierarchically-Structured Documents in Workflow Systems.']"
Encryption as an abstract data type.,"['Lattices of Irreducibly-derived Closed Sets.', 'A Survey Study on Knowledge and Attitude Toward the Ethics Committee and Research Ethical Practices Among Researchers From Kuwait.']"
Idempotents in Dagger Categories: (Extended Abstract).,"[""Infinitary Howe's Method."", 'The Relationships Between KM-fuzzy Quasi-metric Spaces and the Associated Posets of Formal Balls.', 'Distributed Partial Order Reduction for Security Protocols.', 'Domain Theory its Ramifications and Interactions.']"
Coalgebras for Fuzzy Transition Systems.,['Machine Ethics: Do Androids Dream of Being Good People?']
Coalgebraic Trace Semantics for Combined Possibilitistic and Probabilistic Systems.,"['Requirements, specifications, and minimal refinement.']"
Guarded induction on final coalgebras.,"['Scenarios and Covert Channels: Another Game...', 'AI Moral Enhancement: Upgrading the Socio-Technical System of Moral Engagement.', 'Using Assumptions to Distribute Alternation Free Mu-Calculus Model Checking.', 'Coalgebraic Trace Semantics for Combined Possibilitistic and Probabilistic Systems.']"
Reductions and Saturation Reductions of (Abstract) Knowledge Bases.,"['Automated validation of distributed software using the IF environment.', 'On Functional Dependencies in Advanced Data Models.']"
On the Semantic Foundations of Probabilistic Synchronous Reactive Programs.,"['Bicontinuous Domains and Some Old Problems in Domain Theory.', 'Compilation of Interaction Nets.', 'Partial orientation and local structural learning of causal networks for prediction.']"
Fragments of Monadic Second-Order Logics Over Word Structures.,['Measuring and Evaluating Parallel State-Space Exploration Algorithms.']
Propositional Games with Explicit Strategies.,['A Coalgebraic Representation of Reduction by Cone of Influence.']
Algebras of the Extended Probabilistic Powerdomain Monad.,['Socially Assistive Devices in Healthcare-a Systematic Review of Empirical Evidence from an Ethical Perspective.']
A Syntactical Approach to Weak (Bi-)Simulation for Coalgebras.,"['Coinduction for recursive data types: partial orders, metric spaces and Omega-categories.']"
Comparing Calculi of Explicit Substitutions with Eta-reduction.,['Constructing Formally Verified Reasoners for the ACL Description Logic.']
On Rough Concept Lattices.,"['Preface: WoLLIC 2002', 'On the Largest Cartesian Closed Category of Stable Domains.']"
Composition Theorems for Generalized Sum and Recursively Defined Types.,"['Automatically Verifying Concurrent Queue Algorithms.', 'Cut Elimination in a Class of Sequent Calculi for Pure Type Systems.']"
The Essence of Coin Lemmas.,"['Automatically Verifying Concurrent Queue Algorithms.', 'Epistemic and Non-epistemic Values in Earthquake Engineering.', 'Pedagogical Orientations and Evolving Responsibilities of Technological Universities: A Literature Review of the History of Engineering Education.', 'SoftMC 2003: Workshop on Software Model Checking.']"
Refining and Compressing Abstract Model Checking.,"['Coequational Logic for Finitary Functors.', 'A Tableau Method for the Lambek Calculus based on a Matrix Characterization.', 'Abstract Families of Abstract Categorial Languages.']"
Coalgebraic Logic over Measurable Spaces: Behavioral and Logical Equivalence.,"['Parallelism and Concurrency in Adhesive High-Level Replacement Systems with Negative Application Conditions.', 'Monadic Corecursion - Definition, Fusion Laws, and Applications.']"
A Coalgebraic Semantics of Subtyping.,"['Checking Java implementation of a naming architecture using Testera.', 'Formal Verification of Websites.', 'An Effective Coalgebraic Bisimulation Proof Method.', 'Greatest Bisimulations for Binary Methods.']"
"Design for AJACS, yet another Java constraint programming framework.","['Coalgebras and Modal Logic.', 'Interaction Nets With Nested Pattern Matching.', 'When is a function a fold or an unfold?']"
A hierarchy of probabilistic system types.,"['Deciding Nondeterministic Hierarchy of Deterministic Tree Automata.', 'The Implication Problem of Functional Dependencies in Complex-value Databases.', 'Measures of Ethics and Social Responsibility Among Undergraduate Engineering Students: Findings from a Longitudinal Study.']"
Deciding Nondeterministic Hierarchy of Deterministic Tree Automata.,['Parallel Multithreaded Satisfiability Solver: Design and Implementation.']
Trace Semantics for Coalgebras.,"['Specifying Coalgebras with Modal Logic.', 'Benchmarking Explicit State Parallel Model Checkers.', 'Merging Hierarchically-Structured Documents in Workflow Systems.']"
Some Co-Birkhoff Type Theorems.,"['An Effective Coalgebraic Bisimulation Proof Method.', ""Criticizing Danaher's Approach to Superficial State Deception."", 'The Luce model with replicas.']"
Probabilistic behaviours of reactive agents.,"['Encryption as an abstract data type.', 'Is Online Moral Outrage Outrageous? Rethinking the Indignation Machine.', 'Distributed Branching Bisimulation Reduction of State Spaces.', 'The Value-Free Ideal of Science: A Useful Fiction? A Review of Non-epistemic Reasons for the Research Integrity Community.']"
Parallel and Symbolic Model Checking for Fixpoint Logic with Chop.,"['Monadic Second-Order Logic and Transitive Closure Logics over Trees.', 'Inequational Deduction as Term Graph Rewriting.', 'Post-publication Peer Review with an Intention to Uncover Data/Result Irregularities and Potential Research Misconduct in Scientific Research: Vigilantism or Volunteerism?']"
Relating State-Based and Process-Based Concurrency through Linear Logic.,"['Observationally-induced Algebras in Domain Theory.', 'Large-Scale Parallel Computing on Grids.', 'A Syntactical Approach to Weak (Bi-)Simulation for Coalgebras.', 'Preface.']"
Formal Contexts for Algebraic Domains.,['The Duality Theory of General Z-continuous Posets.']
"On Corelations, Cokernels, and Coequations.","['Web Sites Repairing through Abduction.', 'An Effective Coalgebraic Bisimulation Proof Method.', 'Post-publication Peer Review with an Intention to Uncover Data/Result Irregularities and Potential Research Misconduct in Scientific Research: Vigilantism or Volunteerism?', 'Categorifying Computations into Components via Arrows as Profunctors.']"
Hard combinators.,"['Designing for Care.', 'Automated Compositional Abstraction Refinement for Concurrent C Programs: A Two-Level Approach.', 'Best Agglomerative Ranked Subset for Feature Selection.']"
A Note on Coalgebras and Presheaves.,"['From Parity Games to Circular Proofs.', 'Specification and Analysis of SOC Systems Using COWS: A Finance Case Study.', 'Parallel and Symbolic Model Checking for Fixpoint Logic with Chop.']"
Modal Rules are Co-Implications.,['Multi-Source Feature Selection via Geometry-Dependent Covariance Analysis.']
From Fairness to Chance.,"['Distributed Model Checking: From Abstract Algorithms to Concrete Implementations.', 'Using Assumptions to Distribute Alternation Free Mu-Calculus Model Checking.', ""Criticizing Danaher's Approach to Superficial State Deception.""]"
Modeling Fresh Names in the ?-calculus Using Abstractions.,"['On Equivalences for a Class of Timed Regular Expressions.', 'Controlling Control Flow in Web Applications.', 'Causal and Non-Causal Feature Selection for Ridge Regression.']"
A Diagrammatic Logic for Object-Oriented Visual Modeling.,"['A State Space Distribution Policy Based on Abstract Interpretation.', 'Coequational Logic for Finitary Functors.', 'An Overview of QML With a Concrete Implementation in Haskell.']"
Web Categorisation Using Distance-Based Decision Trees.,"['Interaction Nets With Nested Pattern Matching.', 'A Coalgebraic Semantics of Subtyping.', 'Web Accessibility Evaluation Tools: A Survey and Some Improvements.']"
Expressibility of Higher Order Logics.,"['On Functional Dependencies in Advanced Data Models.', 'Retractions and Rewards in Science: An Open Question for Reviewers and Funders.', 'What do Retraction Notices Reveal About Institutional Investigations into Allegations Underlying Retractions?']"
Parallelism and Concurrency in Adhesive High-Level Replacement Systems with Negative Application Conditions.,"['Lifting Infinite Normal Form Definitions From Term Rewriting to Term Graph Rewriting.', 'Rewritings for Polarized Multiplicative and Exponential Proof Structures.', 'Computing Probability Bounds for Linear Time Formulas over Concurrent Probabilistic Systems.', 'Playing Brains: The Ethical Challenges Posed by Silicon Sentience and Hybrid Intelligence in DishBrain.']"
